Year,Month,Day,Period,1
2016,7,6,8,40.7547833
2016,7,6,9,38.2359541
2016,7,6,10,31.5468386
2016,7,6,11,24.69619445
2016,7,6,12,21.2828479
2016,7,6,13,20.1577255
2016,7,6,14,18.52672995
2016,7,6,15,17.140571
2016,7,6,16,16.2994815
2016,7,6,17,16.6368519
2016,7,6,18,20.81009875
2016,7,6,19,26.00025925
2016,7,6,20,29.10189075
2016,7,6,21,30.67774775
2016,7,6,22,31.6306731
2016,7,6,23,32.08875945
2016,7,6,24,32.8271276
2016,7,7,1,33.84083585
2016,7,7,2,34.73569005
2016,7,7,3,35.21849715
2016,7,7,4,35.3225019
2016,7,7,5,35.43314795
2016,7,7,6,35.56213035
2016,7,7,7,35.723907
2016,7,7,8,35.97688835
2016,7,7,9,35.15384235
2016,7,7,10,31.13036265
2016,7,7,11,24.3266379
2016,7,7,12,20.9514331
2016,7,7,13,20.81423875
2016,7,7,14,20.94094945
2016,7,7,15,20.76651275
2016,7,7,16,20.5769756
2016,7,7,17,21.12725245
2016,7,7,18,24.7613854
2016,7,7,19,29.71946455
2016,7,7,20,33.4443133
2016,7,7,21,36.00397755
2016,7,7,22,37.7973979
2016,7,7,23,38.7754737
2016,7,7,24,39.62223625
2016,7,8,1,40.20908415
2016,7,8,2,40.41063885
2016,7,8,3,40.54980955
2016,7,8,4,40.5385602
2016,7,8,5,40.85691255
2016,7,8,6,41.12618665
2016,7,8,7,41.17999055
2016,7,8,8,41.2161559
2016,7,8,9,40.06384585
2016,7,8,10,36.05034085
2016,7,8,11,27.92955285
2016,7,8,12,25.8009506
2016,7,8,13,26.84190565
2016,7,8,14,27.29395965
2016,7,8,15,27.0583296
2016,7,8,16,26.5661271
2016,7,8,17,26.77526245
2016,7,8,18,29.38832975
2016,7,8,19,33.18453865
2016,7,8,20,35.9473187
2016,7,8,21,38.06855955
2016,7,8,22,39.6051058
2016,7,8,23,40.4077647
2016,7,8,24,40.8348299
2016,7,9,1,41.01745695
2016,7,9,2,41.178179
2016,7,9,3,44.74557755
2016,7,9,4,44.285442
2016,7,9,5,44.2152077
2016,7,9,6,44.2884394
2016,7,9,7,44.37674995
2016,7,9,8,44.41592305
2016,7,9,9,42.9213313
2016,7,9,10,37.149908
2016,7,9,11,27.98162205
2016,7,9,12,27.2662695
2016,7,9,13,29.2620039
2016,7,9,14,30.19825885
2016,7,9,15,29.7891835
2016,7,9,16,28.83260225
2016,7,9,17,28.6042544
2016,7,9,18,30.77681635
2016,7,9,19,34.14760195
2016,7,9,20,36.3244303
2016,7,9,21,37.66131895
2016,7,9,22,38.444863
2016,7,9,23,38.6639459
2016,7,9,24,38.58139245
2016,7,10,1,38.4079423
2016,7,10,2,38.04603045
2016,7,10,3,37.4295769
2016,7,10,4,37.0057731
2016,7,10,5,37.11004195
2016,7,10,6,37.32061035
2016,7,10,7,37.3584
2016,7,10,8,37.28250465
2016,7,10,9,36.29920305
2016,7,10,10,32.0962441
2016,7,10,11,23.1733109
2016,7,10,12,22.2146716
2016,7,10,13,24.50499535
2016,7,10,14,25.8251232
2016,7,10,15,24.9874152
2016,7,10,16,22.5702663
2016,7,10,17,20.2046273
2016,7,10,18,20.17110485
2016,7,10,19,21.3260994
2016,7,10,20,22.17366135
2016,7,10,21,22.99818685
2016,7,10,22,23.8441973
2016,7,10,23,24.7827039
2016,7,10,24,25.2327303
2016,7,11,1,25.37061035
2016,7,11,2,25.29617285
2016,7,11,3,25.01809145
2016,7,11,4,24.51649595
2016,7,11,5,23.9848931
2016,7,11,6,23.310454
2016,7,11,7,22.44253375
2016,7,11,8,21.4635442
2016,7,11,9,20.16839235
2016,7,11,10,17.10394235
2016,7,11,11,11.0542168
2016,7,11,12,8.92326285
2016,7,11,13,9.1316821
2016,7,11,14,8.83254065
2016,7,11,15,7.9629081
2016,7,11,16,7.26037
2016,7,11,17,7.3744335
2016,7,11,18,9.5698142
2016,7,11,19,12.46235755
2016,7,11,20,14.8895372
2016,7,11,21,16.99500785
2016,7,11,22,18.70136425
2016,7,11,23,19.8485613
2016,7,11,24,20.7957992
